4912799 热情的小姐姐，很周到。在施工的原因有点吵。
4912798 对于第一次来巴黎，方向感差，又是晚上到达的人来说，选择卢浮公寓是再正确不过了！位置极佳，坐地铁方便，步行到塞纳河，卢浮宫，奥赛博物馆，巴黎圣母院……都近。买了博物馆通票，步行打卡都可以。房东人很好，是我们到巴黎的超好体验。
4912797 去华东师大看孩子，此处离孩子的宿舍很近。房间实际情况与图片介绍一致，干净整洁，可以做饭。我带去烧好的菜和汤，用微波炉热，加上电饭煲做的饭，看着孩子吃着，有家的感觉。下次来还会住这，方便。
4912796 客服不接电话，房都没住到！！！
4912795	很棒的房间，自己很满意，下次还会选择这一家，住的很舒心，房间也很大，完美。
4912794	位置不错，很好找，卫生打扫的很干净，设备齐全，装修的也很漂亮，老板非常好客，服务很满意，休息的很好，满意。
4912793	环境不错，地点也很好很方便，吃的地方很多
4912792	跟网上看到完全不符，卫生各方面都好就是不管大房间还是小房子完全没有镜子早上起来都不知道怎么化妆。小房间的床垫有点软。服务态度很好
4912791	服务到位，环境舒服，总体很好。
4912790 第一天下飞机已经是半夜了，机场接机过去的费用不好。楼下就是八一广场附近很多小吃，出门不管去哪里都方便所以后来又多住了一晚上。
